strain,live,dead,phe,od.harvest,env,cont.max.rate,cont.max.od,carb.max.rate,carb.max.od,toby.max.rate,toby.max.od,cont.lag,carb.lag,toby.lag,cont.auc,carb.auc,carb.auc.delta,toby.auc,toby.auc.delta,carb.lag.delta,toby.lag.delta,bfrac,ecr.n,pch.n,pvd.n,sa.vir,Niche,Sub-Niche
001,45.3803,16.2299,0.131928,1.121,host,0.214624913,1.047684281,0.069784342,0.866437398,0.164115859,1.311316649,6,24,9,0.736017505,0.457768053,0.278249452,0.766214442,-0.030196937,19,4,0.35214512,0.008920607,11.00385501,6.208742194,0.000643667,Clinical,Infection
002,69.179,24.0182,0.13941,1.4005,host,0.314807315,1.448385249,0.178968297,0.328041309,0.168600163,1.193195279,5,2,18,0.975054705,0.229671772,0.745382933,0.598905908,0.376148797,-2,14,0.388225202,0.007140307,8.272281921,6.540521242,0.00064626,Clinical,Infection
003,80.3845,14.1417,0.14796,0.8785,host,0.213045514,0.70571338,0.059450737,0.181035115,0.147499028,1.021837316,5,2,11,0.480787746,0.129059081,0.351728665,0.580700219,-0.099912473,-2,7,0.381222986,0.011383039,2.274091961,2.287990894,0.00069143,Clinical,Infection
005,80.6388,16.8804,0.127054,1.21,host,0.104039169,0.996569055,0.069438443,0.206019138,0.129963589,0.555181175,13,3,8,0.62678337,0.157242888,0.469540482,0.34761488,0.27916849,-9,-4,0.324184947,0.033057851,3.541530751,2.520661157,0.00066188,Clinical,Infection
009,30.6461,14.5689,0.102899,0.7665,host,0.033830837,0.838773788,0.07289791,1.08022674,0.032703452,0.244017177,29,9,38,0.543283583,0.563795353,-0.02051177,0.155498335,0.387785248,-19,10,0.301421699,0.026092629,17.10229018,7.371167645,0.000666722,Clinical,Infection
014,81.5455,24.6183,0.137895,1.056,host,0.270488051,0.911210893,0.072683126,0.183308506,0.180229277,0.793741404,5,3,8,0.625207877,0.134091904,0.491115973,0.508358862,0.116849015,-1,4,0.263926568,0.009469697,2.313334885,2.017045455,0.000619225,Animal,Host
023,19.485,11.4895,0.183794,1.72,envir,0.349203931,1.401192721,0.39033942,0.870612052,0.229016815,1.238230077,4,3,6,1.006608315,0.567746171,0.438862144,0.875929978,0.130678337,0,3,0.102633264,0.127906977,2.504177873,25.47674419,0.000703855,Fresh water,Fresh Water
026,26.3922,11.5315,0.203215,1.4,cf,0.101479436,0.535373133,0.030149337,0.364673284,0.083562651,0.560779719,14,39,17,0.310503282,0.168140044,0.142363238,0.307658643,0.002844639,26,4,0.401491415,0.1,1.434600228,2.821428571,0.000749743,Chronic/CF-patient,Chronic
029,92.1236,15.1356,0.413086,1.635,envir,0.281821986,1.372319292,0.343454254,0.726476734,0.180958611,1.096091231,5,2,7,0.961969365,0.37750547,0.584463895,0.72083151,0.241137855,-2,3,0.52264996,0.012232416,3.405894037,3.908256881,0.000696024,Plant/Soil,Surface
032,84.9746,13.4387,0.229391,1.37,cf,0.085311408,0.655158609,0.101209158,0.645644992,0.14305642,0.570077956,15,34,9,0.419343545,0.2404814,0.178862145,0.372078775,0.04726477,20,-5,0.186129136,0.03649635,4.210086172,17.52554745,0.000603872,Clinical,Infection
